match_name,set_file,landing_x,landing_y,player_location_x,player_location_y
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,571.0,302.0,526.0,595.0
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,819.0,542.0,703.0,270.0
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,653.0,310.0,544.0,586.0
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,473.0,556.0,610.0,263.0
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,873.0,546.0,687.0,284.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,639.0,561.0,596.0,339.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,507.0,351.0,534.0,606.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,474.0,350.0,495.0,630.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,621.0,543.0,501.0,333.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,811.0,343.0,804.0,598.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,828.0,555.0,755.0,327.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,448.0,548.0,562.0,312.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,387.0,582.0,572.0,318.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,459.0,349.0,496.0,621.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,935.0,597.0,663.0,338.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,614.0,549.0,684.0,329.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,507.0,343.0,660.0,589.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,846.0,551.0,764.0,323.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,460.0,353.0,509.0,629.0
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,701.0,549.0,730.0,315.0
